seconds,time,air,beans,air_sp,power,power_sp,speed,coolfan_speed,stirrer_speed,pressure,pressure_fan_speed,pressure_sp,ror,ror_f,computed_air_ror,__filled,beans_clean,air_clean,beans_smooth,air_smooth
41.0,00:41,124.3,77.8,220,11,11,50,61,15616,99,21,100,-26.4,-476,-20.1,0,77.8,124.3,77.72389140271537,124.38696832579255
42.0,00:42,123.9,77.1,220,11,11,50,61,15616,101,21,100,-24.2,-435,-18.9,0,77.1,123.9,77.08434389140314,123.90660633484232
43.0,00:43,123.5,76.4,220,11,11,50,61,15616,101,21,100,-22.2,-399,-17.3,0,76.4,123.5,76.4977375565615,123.4733031674215
44.0,00:44,123.1,75.9,220,11,11,50,61,15616,100,21,100,-20.2,-364,-15.8,0,75.9,123.1,75.9652488687787,123.08162895927671
45.0,00:45,122.8,75.5,220,11,11,50,61,15616,100,21,100,-18.4,-332,-14.1,0,75.5,122.8,75.47963800905019,122.72841628959344
46.0,00:46,122.4,75.1,220,11,11,50,61,15616,99,21,100,-16.6,-299,-12.6,0,75.1,122.4,75.06705882352983,122.39891402715
47.0,00:47,122.1,74.7,220,11,11,50,61,15616,101,21,100,-15.0,-270,-11.4,0,74.7,122.1,74.6923076923081,122.10063348416357
48.0,00:48,121.8,74.4,220,11,11,50,61,15616,100,21,100,-13.3,-240,-10.7,0,74.4,121.8,74.38153846153888,121.81565610859796
49.0,00:49,121.6,74.1,220,11,11,50,61,15616,100,21,100,-11.9,-214,-10.0,0,74.1,121.6,74.1275113122176,121.5553846153853
50.0,00:50,121.3,73.9,220,11,11,50,61,15616,101,21,100,-10.5,-189,-9.4,0,73.9,121.3,73.91049773755697,121.32733031674275
51.0,00:51,121.1,73.7,220,11,11,50,61,15616,100,20,100,-9.2,-165,-8.6,0,73.7,121.1,73.71828054298685,121.12923076923144
52.0,00:52,120.9,73.6,220,11,11,50,61,15616,101,20,100,-7.8,-141,-7.8,0,73.6,120.9,73.55294117647101,120.94904977375633
53.0,00:53,120.8,73.4,220,11,11,50,61,15616,101,20,100,-6.7,-120,-7.0,0,73.4,120.8,73.42470588235336,120.80588235294184
54.0,00:54,120.7,73.4,220,11,11,50,61,15616,100,20,100,-5.5,-100,-6.2,0,73.4,120.7,73.33927601809995,120.67520361991016
55.0,00:55,120.6,73.3,220,11,11,50,61,15616,100,20,100,-4.5,-80,-5.4,0,73.3,120.6,73.27782805429906,120.56361990950293
56.0,00:56,120.5,73.2,220,11,11,50,61,15616,100,20,100,-3.5,-63,-4.7,0,73.2,120.5,73.24470588235334,120.46796380090565
57.0,00:57,120.4,73.2,220,11,11,50,61,15616,99,20,100,-2.7,-48,-4.0,0,73.2,120.4,73.22651583710447,120.39619909502329
58.0,00:58,120.3,73.2,220,11,11,50,61,15616,100,20,100,-1.7,-31,-3.3,0,73.2,120.3,73.24009049773798,120.33357466063414
59.0,00:59,120.3,73.3,220,11,11,50,61,15616,101,20,100,-1.0,-18,-2.8,0,73.3,120.3,73.27158371040765,120.28352941176537
60.0,01:00,120.2,73.4,220,11,11,50,61,15616,102,20,100,-0.2,-3,-2.4,0,73.4,120.2,73.33828054298684,120.23357466063415
61.0,01:01,120.2,73.4,220,11,11,50,61,15616,100,20,100,0.5,9,-2.0,0,73.4,120.2,73.41384615384656,120.20325791855271
62.0,01:02,120.2,73.5,220,11,11,50,61,15616,99,20,100,1.2,21,-1.5,0,73.5,120.2,73.51692307692349,120.1832579185527
63.0,01:03,120.2,73.6,220,11,11,50,61,15616,101,20,100,1.9,33,-1.1,0,73.6,120.2,73.63638009049815,120.17628959276084
64.0,01:04,120.2,73.8,220,11,11,50,61,15616,100,20,100,2.4,44,-0.7,0,73.8,120.2,73.7654298642538,120.1832579185527
65.0,01:05,120.2,73.9,220,11,11,50,61,15616,100,20,100,2.9,52,-0.4,0,73.9,120.2,73.90841628959316,120.21031674208211
66.0,01:06,120.2,74.1,220,11,11,50,61,15616,101,20,100,3.4,62,-0.1,0,74.1,120.2,74.06081447963842,120.23475113122238
67.0,01:07,120.3,74.2,220,11,11,50,61,15616,100,20,100,3.9,70,0.1,0,74.2,120.3,74.22307692307733,120.2726696832586
68.0,01:08,120.3,74.4,220,11,11,50,61,15616,99,20,100,4.1,74,0.4,0,74.4,120.3,74.40769230769271,120.31746606334909
69.0,01:09,120.4,74.6,220,11,11,50,61,15616,101,20,100,4.6,83,0.7,0,74.6,120.4,74.59855203619952,120.38072398190113
70.0,01:10,120.5,74.8,220,11,11,50,61,15616,99,20,100,4.9,89,1.1,0,74.8,120.5,74.79158371040766,120.45809954751198
71.0,01:11,120.6,75.0,220,90,90,50,61,15616,99,20,100,5.3,95,1.5,0,75.0,120.6,74.98769230769273,120.55638009049841
72.0,01:12,120.6,75.2,220,90,90,50,61,15616,99,20,100,5.6,100,1.9,0,75.2,120.6,75.20687782805473,120.66552036199163
73.0,01:13,120.8,75.4,220,90,90,50,61,15616,101,20,100,5.9,107,2.3,0,75.4,120.8,75.4273303167425,120.80570135746675
74.0,01:14,121.0,75.7,220,90,90,50,61,15616,101,20,100,6.1,110,2.8,0,75.7,121.0,75.66018099547554,120.97963800905043
75.0,01:15,121.2,75.9,220,90,90,50,61,15616,100,20,100,6.4,115,3.5,0,75.9,121.2,75.89475113122215,121.20027149321335
76.0,01:16,121.4,76.1,220,90,90,50,61,15616,100,20,100,6.7,120,4.3,0,76.1,121.4,76.13945701357508,121.45692307692374
77.0,01:17,121.7,76.4,220,90,90,50,61,15616,100,20,100,6.9,124,5.3,0,76.4,121.7,76.39475113122214,121.74914027149387
78.0,01:18,122.0,76.7,220,90,90,50,61,15616,100,20,100,7.2,129,6.3,0,76.7,122.0,76.65312217194614,122.08669683257988
79.0,01:19,122.5,76.9,220,90,90,50,61,15616,100,20,100,7.4,133,7.7,0,76.9,122.5,76.92615384615428,122.46280542986494
80.0,01:20,122.9,77.2,220,90,90,50,61,15616,100,20,100,7.6,137,8.9,0,77.2,122.9,77.2106787330321,122.84705882353009
81.0,01:21,123.3,77.5,220,90,90,50,61,15616,99,20,100,7.8,140,10.2,0,77.5,123.3,77.50262443438957,123.26018099547579
82.0,01:22,123.7,77.8,220,90,90,50,61,15616,100,20,100,8.1,145,11.1,0,77.8,123.7,77.8038009049778,123.70018099547579
83.0,01:23,124.1,78.1,220,90,90,50,61,15616,99,20,100,8.2,148,11.9,0,78.1,124.1,78.11511312217237,124.14325791855272
84.0,01:24,124.6,78.4,220,90,90,50,61,15616,100,20,100,8.4,151,12.4,0,78.4,124.6,78.42977375565654,124.57764705882423
85.0,01:25,125.0,78.8,220,90,90,50,61,15616,100,20,100,8.6,156,12.6,0,78.8,125.0,78.74687782805474,125.01067873303236
86.0,01:26,125.4,79.1,220,90,90,50,61,15616,101,20,100,8.8,159,12.8,0,79.1,125.4,79.07140271493256,125.42171945701426
87.0,01:27,125.9,79.4,220,90,90,50,61,15616,101,20,100,9.0,162,12.9,0,79.4,125.9,79.40063348416334,125.83782805429935
88.0,01:28,126.3,79.7,220,90,90,50,61,15616,101,20,100,9.2,166,12.9,0,79.7,126.3,79.73095022624479,126.23900452488758
89.0,01:29,126.6,80.1,220,90,90,50,61,15616,100,20,100,9.6,172,12.8,0,80.1,126.6,80.07167420814525,126.62615384615457
90.0,01:30,127.0,80.4,220,90,90,50,61,15616,100,20,100,9.8,177,12.5,0,80.4,127.0,80.41122171945746,127.00018099547583
91.0,01:31,127.4,80.7,220,90,90,50,61,15616,99,20,100,10.0,180,12.1,0,80.7,127.4,80.7509502262448,127.36199095022695
92.0,01:32,127.7,81.1,220,90,90,50,61,15616,99,20,100,10.2,184,11.6,0,81.1,127.7,81.09837104072443,127.71927601810025
93.0,01:33,128.1,81.5,220,90,90,50,61,15616,100,20,100,10.4,187,11.2,0,81.5,128.1,81.45393665158416,128.07266968325865
94.0,01:34,128.4,81.8,220,90,90,50,61,15616,100,20,100,10.5,189,10.9,0,81.8,128.4,81.81104072398234,128.43601809954822
95.0,01:35,128.8,82.2,220,90,90,50,61,15616,100,20,100,10.6,191,10.8,0,82.2,128.8,82.16217194570181,128.8231674208152
96.0,01:36,129.2,82.5,220,90,90,50,61,15616,101,20,100,10.7,192,10.8,0,82.5,129.2,82.5259728506792,129.2350226244351
97.0,01:37,129.6,82.9,220,90,90,50,61,15616,101,20,100,10.8,195,10.9,0,82.9,129.6,82.90018099547558,129.6457013574668
98.0,01:38,130.0,83.3,220,90,90,50,61,15616,101,20,100,10.9,196,11.1,0,83.3,130.0,83.27547511312264,130.0631674208152
